Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.48;15.42;32.38;12.47;32.82;28.35;22.67;8.27;5.79;6.64;5.70;14.65;3.07
Price/Earnings;67.64;—;—;—;—;—;57.36;16.81;8.99;41.81;89.71;80.18;25.84
Price/Cash Flow;—;—;—;—;—;40.27;48.08;16.90;11.69;19.06;30.52;28.78;17.36
Price/Book;210.18;2.83;8.52;—;—;134.99;37.72;6.44;3.34;3.38;3.02;24.18;4.27
Price/Forward Earnings;-5.04;-7.13;-6.16;-2.94;-6.96;-200.00;43.10;18.48;15.95;26.39;54.95;71.02;—
PEG Ratio;—;—;—;—;—;—;0.94;0.49;0.53;0.57;1.19;1.57;—
Earnings Yield %;1.48;-20.13;-20.23;-102.08;-16.13;-4.43;1.74;5.95;11.12;2.39;1.11;3.28;—
Enterprise Value (Bil);0.63;0.76;1.19;0.45;1.47;4.19;8.63;5.28;4.62;5.11;4.63;5.66;—
Enterprise Value/EBIT;22.66;—;—;—;—;—;51.37;14.08;11.07;26.68;87.96;40.42;—
Enterprise Value/EBITDA;17.94;—;—;—;—;—;51.04;13.96;11.02;25.48;73.69;38.86;—
