Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.46;1.55;2.05;1.60;1.73;1.63;1.47;0.75;1.25;1.21;1.12;1.21;3.07
Price/Earnings;18.99;14.78;16.34;21.47;14.68;15.92;17.72;12.85;17.87;14.26;15.09;16.64;25.84
Price/Cash Flow;15.48;7.13;9.31;8.83;8.25;9.39;9.89;5.87;7.84;8.37;7.29;8.23;17.36
Price/Book;2.44;2.38;2.85;2.47;2.78;2.65;2.45;1.36;2.26;2.00;1.90;2.09;4.27
Price/Forward Earnings;9.57;7.81;10.01;—;—;—;13.42;7.20;—;—;—;—;—
PEG Ratio;0.55;0.52;1.72;—;—;—;2.68;3.60;—;—;—;—;—
Earnings Yield %;5.27;6.76;6.12;4.66;6.81;6.28;5.64;7.78;5.60;7.01;6.63;6.70;—
Enterprise Value (Bil);1.18;1.22;1.55;1.45;1.41;1.75;1.99;1.32;1.77;1.83;1.80;1.70;—
Enterprise Value/EBIT;12.83;9.06;10.21;14.93;13.05;13.29;17.44;9.49;13.24;14.03;14.48;13.38;—
Enterprise Value/EBITDA;8.71;7.01;8.18;10.19;9.58;9.88;11.57;6.65;9.23;9.28;9.08;9.21;—
