Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.35;0.30;0.41;0.39;0.28;0.29;0.26;0.23;0.24;0.23;0.24;0.24;3.07
Price/Earnings;12.90;12.91;32.64;14.14;14.85;16.88;15.63;20.34;17.35;—;17.39;17.74;25.84
Price/Cash Flow;—;12.20;6.90;424.44;53.86;9.08;17.80;12.43;67.07;2.48;4.04;24.93;17.36
Price/Book;1.65;1.27;1.67;1.42;1.11;1.32;1.07;1.01;1.03;1.00;1.02;1.05;4.27
Price/Forward Earnings;11.56;8.57;13.46;15.43;10.81;13.72;11.74;8.75;10.91;12.63;9.08;10.81;—
PEG Ratio;1.16;0.86;1.35;1.54;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.75;7.74;3.06;7.07;6.73;5.92;6.40;4.92;5.76;-13.68;-12.02;2.39;—
Enterprise Value (Bil);1.07;0.88;1.02;1.02;0.90;1.14;1.17;1.15;1.28;0.77;0.85;1.07;—
Enterprise Value/EBIT;9.09;8.58;18.33;8.16;9.33;11.74;13.09;13.72;14.42;—;13.79;13.05;—
Enterprise Value/EBITDA;8.53;7.84;16.00;7.70;8.15;9.86;9.92;9.44;10.22;—;8.80;9.52;—
