Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.49;1.36;1.58;2.32;1.99;3.10;2.88;2.55;3.38;2.83;2.84;2.95;3.07
Price/Earnings;11.23;10.87;12.04;25.06;13.08;12.61;14.00;13.36;14.59;14.03;14.87;13.89;25.84
Price/Cash Flow;7.10;6.13;6.68;7.41;8.15;8.22;8.78;6.79;10.48;7.75;8.01;8.45;17.36
Price/Book;1.57;1.59;1.54;1.73;2.25;2.32;2.01;1.73;2.31;1.58;1.88;1.99;4.27
Price/Forward Earnings;12.00;9.83;11.68;15.82;14.81;15.80;13.40;11.61;14.06;11.60;14.35;13.53;—
PEG Ratio;2.32;2.66;2.78;1.57;54.90;0.78;—;1.21;—;—;5.37;33.21;—
Earnings Yield %;8.91;9.12;8.31;3.99;7.65;7.93;7.14;7.48;6.86;7.13;6.72;7.33;—
Enterprise Value (Bil);34.09;35.89;38.02;44.86;41.78;41.87;41.40;41.37;49.79;45.07;37.56;43.76;—
Enterprise Value/EBIT;12.23;11.79;12.21;18.95;12.06;12.76;14.48;12.67;15.50;14.80;12.66;14.01;—
Enterprise Value/EBITDA;8.74;8.29;8.51;11.73;8.54;9.82;10.52;9.35;11.16;10.29;8.64;10.20;—
