Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.31;0.31;0.30;0.19;0.15;0.25;0.27;0.30;0.25;0.56;0.64;0.31;3.07
Price/Earnings;5.27;—;—;—;—;—;—;—;—;15.48;4.56;42.19;25.84
Price/Cash Flow;2.38;7.76;—;4.58;3.48;19.26;—;—;—;9.96;7.09;17.19;17.36
Price/Book;0.76;0.67;0.68;0.81;0.65;0.65;1.34;2.26;2.03;3.80;2.20;1.79;4.27
Price/Forward Earnings;15.85;21.79;-26.60;-11.20;-7.96;14.77;10.10;40.00;10.80;13.55;13.14;27.70;—
PEG Ratio;6.77;1.81;—;—;—;1.48;1.01;2.67;0.72;0.90;0.88;—;—
Earnings Yield %;18.99;-19.32;-25.30;-130.00;-10.05;-6.25;-28.71;-4.69;-3.33;6.46;21.94;-5.41;—
Enterprise Value (Mil);189.24;144.58;149.03;97.35;94.45;71.90;59.38;93.04;128.30;238.79;270.14;120.80;—
Enterprise Value/EBIT;2.92;—;—;—;32.56;16.46;—;—;134.35;17.42;12.20;13.15;—
Enterprise Value/EBITDA;2.04;—;—;—;5.19;4.30;19.33;13.99;14.16;11.16;9.14;12.59;—
