Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.62;0.65;0.74;0.78;0.79;0.87;0.91;0.52;0.84;1.18;1.17;0.85;3.07
Price/Earnings;16.30;9.82;20.63;16.63;20.78;14.77;16.12;18.56;20.49;26.23;19.83;18.79;25.84
Price/Cash Flow;12.62;8.80;10.36;6.90;5.78;7.21;7.40;6.96;9.73;10.62;9.05;8.94;17.36
Price/Book;—;—;—;26.20;50.50;15.67;9.46;5.97;6.07;7.08;5.87;9.59;4.27
Price/Forward Earnings;10.59;10.01;11.59;13.44;12.79;12.99;12.64;7.29;13.02;15.92;16.13;12.61;—
PEG Ratio;2.12;1.15;1.29;1.20;1.53;3.34;2.17;0.93;65.06;6.66;—;20.47;—
Earnings Yield %;6.13;10.19;4.85;6.01;4.81;6.77;6.20;5.39;4.88;3.81;5.04;5.43;—
Enterprise Value (Bil);8.35;8.58;10.18;12.14;12.41;12.09;12.41;10.54;17.96;21.35;21.62;15.46;—
Enterprise Value/EBIT;9.64;9.96;12.61;15.08;15.31;11.85;11.89;9.75;15.21;19.68;15.62;13.89;—
Enterprise Value/EBITDA;8.01;8.24;10.69;12.44;11.94;9.51;9.65;7.94;10.78;13.61;11.56;10.40;—
