Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.84;1.05;1.70;1.97;1.22;1.65;2.35;1.13;1.44;1.96;2.74;1.65;3.07
Price/Earnings;41.62;57.62;28.35;22.18;11.83;16.34;24.38;5.18;11.55;18.45;25.22;13.60;25.84
Price/Cash Flow;3.69;5.99;6.16;5.67;3.79;4.59;7.03;3.34;3.99;6.25;8.36;4.96;17.36
Price/Book;132.72;2.69;4.21;5.50;4.45;5.78;6.57;2.46;3.40;4.02;4.87;4.09;4.27
Price/Forward Earnings;12.08;10.22;12.21;12.24;8.05;11.81;14.43;5.69;8.66;13.81;16.10;10.78;—
PEG Ratio;1.01;0.85;1.02;1.02;0.67;0.98;1.20;0.47;0.80;1.15;1.34;0.90;—
Earnings Yield %;2.40;1.74;3.53;4.51;8.45;6.12;4.10;19.32;8.66;5.42;3.96;8.67;—
Enterprise Value (Bil);4.84;11.49;14.73;17.91;15.00;16.60;22.59;18.20;24.53;27.14;32.47;21.75;—
Enterprise Value/EBIT;13.91;19.02;15.11;13.58;9.61;11.73;15.53;9.83;11.54;14.29;17.84;12.46;—
Enterprise Value/EBITDA;5.93;7.66;7.15;7.21;5.36;6.24;8.17;5.29;5.96;6.92;8.66;6.43;—
