Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.35;0.22;0.67;1.82;1.85;1.35;1.12;0.76;0.82;0.71;0.80;0.96;3.01
Price/Earnings;—;—;—;51.82;96.60;19.51;13.96;110.93;—;82.43;20.18;230.07;25.53
Price/Cash Flow;—;—;—;28.52;—;—;54.51;—;—;4.39;7.74;33.60;17.03
Price/Book;0.85;1.35;2.87;3.05;3.18;2.20;1.74;1.16;1.49;1.30;1.42;1.59;4.19
Price/Forward Earnings;5.09;-9.81;14.81;18.12;16.89;10.26;10.73;—;10.30;7.52;11.67;10.47;—
PEG Ratio;0.25;—;0.59;0.79;0.81;0.49;—;—;—;—;—;0.66;—
Earnings Yield %;-6.13;-34.86;-35.54;1.93;1.04;5.13;7.16;0.90;-1.44;1.21;4.96;2.01;—
Enterprise Value (Mil);194.97;214.07;365.23;552.43;626.19;535.29;513.35;372.80;631.54;547.25;590.91;515.14;—
Enterprise Value/EBIT;20.02;—;—;15.41;21.43;9.43;7.70;11.54;31.41;18.86;12.67;16.68;—
Enterprise Value/EBITDA;12.13;41.18;—;14.38;19.62;8.91;7.26;9.98;21.90;13.96;10.23;12.97;—
