Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.50;0.56;0.86;1.03;1.34;1.15;1.37;1.15;1.36;1.48;1.76;1.34;1.50
Price/Earnings;12.91;14.60;20.05;20.03;23.26;11.94;18.42;19.64;23.22;27.99;29.19;20.77;24.83
Price/Cash Flow;17.07;8.10;13.26;19.75;16.96;12.52;12.67;11.67;11.48;11.99;16.83;12.53;11.13
Price/Book;0.90;1.16;1.77;2.20;2.45;2.13;2.43;2.07;2.47;3.61;4.47;2.51;1.87
Price/Forward Earnings;9.60;9.98;14.43;15.36;16.89;15.02;15.85;12.94;15.34;17.76;22.68;16.49;—
PEG Ratio;1.09;2.91;4.81;1.74;1.66;1.48;1.81;1.71;1.69;1.77;1.36;1.76;—
Earnings Yield %;7.74;6.85;4.99;4.99;4.30;8.37;5.43;5.09;4.31;3.57;3.43;5.09;—
Enterprise Value (Bil);3.58;4.36;7.60;9.53;13.27;16.07;18.55;16.67;20.91;28.36;33.16;19.93;—
Enterprise Value/EBIT;7.15;7.20;11.33;12.17;13.87;14.57;15.49;14.24;14.83;20.39;21.63;13.52;—
Enterprise Value/EBITDA;5.21;5.23;8.53;9.68;11.35;11.42;12.35;11.42;11.34;14.51;15.20;13.59;—
