Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.49;0.79;0.97;1.19;1.37;1.71;1.37;2.06;1.69;1.80;2.29;1.72;1.76
Price/Earnings;5.72;29.84;8.75;11.27;17.36;12.46;7.06;12.68;24.23;21.17;34.77;15.92;17.62
Price/Cash Flow;4.07;15.35;7.54;13.85;16.43;11.82;7.95;14.41;10.40;14.77;16.26;12.12;9.46
Price/Book;0.88;1.40;1.66;2.27;2.54;2.70;1.93;2.49;2.16;2.13;2.59;2.26;2.05
Price/Forward Earnings;9.97;—;—;—;—;—;—;—;—;—;17.18;—;—
PEG Ratio;2.33;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;17.49;—;—;—;—;8.02;14.16;—;—;—;2.88;7.76;—
Enterprise Value (Bil);6.16;—;—;—;—;31.36;28.92;—;—;—;49.35;35.99;—
Enterprise Value/EBIT;5.49;—;—;—;—;10.76;5.80;—;—;—;28.16;12.47;—
Enterprise Value/EBITDA;4.45;—;—;—;—;9.23;5.19;—;—;—;16.83;9.46;—
