Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;11.26;5.51;1.67;0.59;26.93;5.31;4.65;84.17;237.68;50.03;3.07
Price/Earnings;—;—;—;93.56;—;—;—;—;—;—;34.56;—;25.84
Price/Cash Flow;—;—;—;44.01;—;2.29;—;—;—;—;—;—;17.36
Price/Book;—;11.56;3.01;4.12;1.52;2.57;—;1.45;2.14;23.58;4.32;7.88;4.27
Price/Forward Earnings;—;—;—;-7.72;4.00;9.05;—;—;—;37.31;12.00;—;—
PEG Ratio;—;—;—;—;0.08;—;—;—;—;—;—;—;—
Earnings Yield %;—;-15.22;-11.64;1.07;-81.28;-24.42;-224.15;-822.75;-122.53;-4.21;2.89;-223.97;—
Enterprise Value (Bil);—;0.04;0.03;0.12;0.05;0.04;0.06;0.01;0.01;0.84;2.45;0.34;—
Enterprise Value/EBIT;—;—;—;339.29;—;—;—;—;—;—;33.15;14.66;—
Enterprise Value/EBITDA;—;—;—;34.30;—;12.35;—;—;—;—;31.71;-11.21;—
