Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.06;2.72;4.59;3.18;1.55;0.90;1.02;0.69;1.06;1.78;1.95;1.09;1.76
Price/Earnings;25.29;26.27;90.44;24.42;—;—;—;—;—;—;—;20.65;17.62
Price/Cash Flow;18.85;14.49;24.55;24.93;16.28;14.86;—;—;—;26.13;26.44;67.18;9.46
Price/Book;3.60;3.69;7.72;3.31;2.26;1.90;0.93;0.47;0.73;1.44;1.49;1.14;2.05
Price/Forward Earnings;15.24;—;—;—;—;—;—;—;—;—;—;—;—
PEG Ratio;2.97;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;3.95;—;—;—;—;-5.69;-14.49;—;—;—;-4.64;-16.23;—
Enterprise Value (Bil);2.12;—;—;—;—;7.34;3.20;—;—;—;3.87;3.67;—
Enterprise Value/EBIT;—;—;—;—;—;46.91;—;—;—;—;37.16;-20.94;—
Enterprise Value/EBITDA;—;—;—;—;—;10.51;—;—;—;—;70.03;24.06;—
