Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.80;1.35;1.95;1.74;2.06;1.74;2.06;1.04;1.62;2.04;2.15;1.72;3.01
Price/Earnings;43.80;41.15;42.71;26.63;32.84;21.47;23.76;13.15;22.38;24.35;22.32;21.28;25.53
Price/Cash Flow;24.97;17.16;23.65;31.59;22.16;16.57;17.19;9.60;15.07;15.21;17.99;14.80;17.03
Price/Book;1.25;2.01;2.99;3.06;3.70;3.48;4.09;2.39;3.90;4.52;4.69;3.77;4.19
Price/Forward Earnings;—;25.00;24.33;19.88;21.88;17.24;20.12;9.50;16.47;18.59;18.45;17.52;—
PEG Ratio;—;1.05;1.02;0.89;1.00;0.71;1.29;0.79;1.57;1.60;1.48;1.34;—
Earnings Yield %;2.28;2.43;2.34;3.76;3.05;4.66;4.21;7.61;4.47;4.11;4.48;4.84;—
Enterprise Value (Bil);2.54;4.78;7.82;7.67;9.87;9.56;11.57;7.46;11.27;13.65;16.18;10.88;—
Enterprise Value/EBIT;16.87;29.36;29.58;17.78;22.94;15.77;16.68;11.91;17.37;18.37;18.01;16.23;—
Enterprise Value/EBITDA;9.88;18.10;22.16;14.50;18.35;13.11;14.06;9.70;14.05;15.17;15.09;13.39;—
