Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;5.22;3.53;10.74;5.74;4.95;4.42;3.68;2.67;2.73;3.69;3.68;3.01
Price/Earnings;—;183.47;—;50.34;21.38;—;37.62;14.57;11.07;—;11.85;30.20;25.53
Price/Cash Flow;—;12.11;6.99;23.13;12.90;10.63;8.18;7.76;5.64;5.16;6.63;7.56;17.03
Price/Book;—;1.67;2.54;6.49;24.62;1.23;1.45;3.54;1.53;1.75;2.40;2.27;4.19
Price/Forward Earnings;—;—;26.88;21.01;52.91;33.00;18.90;12.17;10.58;8.64;12.41;20.88;—
PEG Ratio;—;—;—;—;—;—;—;0.52;1.98;4.09;1.39;—;—
Earnings Yield %;—;0.55;-1.97;1.99;4.68;-1.88;2.66;6.86;9.03;-10.21;8.44;1.23;—
Enterprise Value (Bil);—;0.95;1.57;3.42;12.34;16.48;21.28;36.91;46.69;43.39;50.81;32.47;—
Enterprise Value/EBIT;—;6.56;10.31;18.98;64.12;67.26;24.35;17.52;14.24;—;14.12;49.73;—
Enterprise Value/EBITDA;—;5.16;7.84;14.85;50.74;24.13;14.22;13.00;10.62;205.66;10.21;46.67;—
