Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.85;0.89;1.06;1.11;1.05;1.21;0.84;0.65;0.73;0.60;0.70;0.75;3.07
Price/Earnings;13.93;20.93;30.49;29.38;21.22;25.00;32.19;20.00;17.19;15.91;76.61;24.23;25.84
Price/Cash Flow;22.02;14.60;15.93;35.53;17.37;20.11;22.13;37.97;9.18;5.69;7.03;16.92;17.36
Price/Book;1.23;1.35;1.57;1.79;1.77;1.66;1.99;1.68;1.82;1.32;1.47;1.68;4.27
Price/Forward Earnings;17.79;15.31;20.24;—;—;22.27;—;—;—;—;—;—;—
PEG Ratio;0.95;1.13;1.49;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.18;4.78;3.28;3.40;4.71;4.00;3.11;5.00;5.82;6.28;1.31;4.97;—
Enterprise Value (Mil);336.14;375.26;438.08;519.15;505.54;469.26;483.13;481.44;599.17;421.59;456.25;473.65;—
Enterprise Value/EBIT;8.60;8.52;11.93;12.38;9.68;9.15;16.25;13.67;12.36;12.41;28.31;13.63;—
Enterprise Value/EBITDA;6.66;7.37;10.25;11.01;9.01;8.57;14.50;11.28;10.44;9.41;17.62;11.06;—
