Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.86;0.91;1.26;0.94;0.67;0.81;0.68;0.56;0.46;0.40;0.58;0.57;3.07
Price/Earnings;34.18;24.62;30.75;26.06;34.88;48.64;36.52;123.33;609.00;—;25.96;138.87;25.84
Price/Cash Flow;11.68;14.43;14.24;13.32;51.11;12.75;12.07;7.64;—;3.46;4.25;14.53;17.36
Price/Book;1.92;2.26;3.34;2.55;1.81;2.28;1.92;1.62;1.39;1.11;1.45;1.67;4.27
Price/Forward Earnings;17.86;17.12;23.36;18.38;—;25.45;—;—;—;—;—;—;—
PEG Ratio;1.34;1.71;2.34;1.84;—;—;—;—;—;—;—;—;—
Earnings Yield %;2.93;4.06;3.25;3.84;2.87;2.06;2.74;0.81;0.16;-1.50;3.85;0.90;—
Enterprise Value (Mil);314.57;389.69;595.64;462.08;330.90;419.17;344.56;264.69;242.07;139.62;205.55;274.54;—
Enterprise Value/EBIT;16.70;13.68;20.08;12.55;18.96;32.63;21.11;61.74;—;57.15;14.32;138.54;—
Enterprise Value/EBITDA;8.38;8.69;13.29;8.98;9.97;13.68;9.97;11.78;19.21;6.98;6.54;12.03;—
