Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.82;1.03;1.42;0.74;0.62;1.03;1.39;1.34;1.76;1.27;1.84;1.28;3.07
Price/Earnings;92.00;115.46;256.13;44.04;—;—;25.00;22.34;56.02;110.89;44.36;96.83;25.84
Price/Cash Flow;112.99;98.53;33.70;10.49;11.12;9.82;10.76;14.90;16.91;12.44;13.82;12.21;17.36
Price/Book;3.11;1.82;2.43;1.41;1.24;1.82;2.24;2.13;2.74;1.87;2.50;2.03;4.27
Price/Forward Earnings;22.17;20.70;33.56;68.49;18.59;22.78;27.32;18.80;23.47;30.77;19.80;25.14;—
PEG Ratio;0.89;0.83;1.34;2.74;0.74;1.30;1.82;1.25;1.57;2.05;—;1.61;—
Earnings Yield %;1.09;0.87;0.39;2.27;-3.40;0.00;4.00;4.48;1.79;0.90;2.25;2.60;—
Enterprise Value (Mil);247.12;244.33;366.80;233.12;289.71;388.65;492.84;513.22;777.37;565.58;749.07;516.06;—
Enterprise Value/EBIT;56.81;53.32;100.25;24.37;—;236.98;15.16;19.81;40.49;72.33;31.46;51.29;—
Enterprise Value/EBITDA;26.42;19.20;29.44;11.23;26.08;21.32;9.75;12.09;21.33;18.70;15.98;14.58;—
