Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.19;0.24;0.53;0.78;0.69;0.68;0.67;0.46;0.57;0.60;0.87;0.58;3.07
Price/Earnings;6.53;4.76;10.67;15.69;15.51;15.35;18.21;7.53;11.56;—;289.60;29.13;25.84
Price/Cash Flow;3.30;2.19;4.43;6.24;11.75;8.85;9.02;22.78;12.76;11.87;13.31;13.10;17.36
Price/Book;0.93;0.79;1.41;1.75;1.50;1.68;1.89;1.02;1.17;1.21;1.54;1.36;4.27
Price/Forward Earnings;4.91;3.53;6.57;—;—;—;—;—;—;13.18;17.18;—;—
PEG Ratio;—;0.71;1.31;—;—;—;—;—;—;—;4.52;—;—
Earnings Yield %;15.32;21.01;9.37;6.37;6.45;6.51;5.49;13.27;8.65;-0.29;-0.70;7.03;—
Enterprise Value (Mil);315.17;295.32;387.06;434.62;602.53;672.64;726.14;518.92;709.86;699.11;913.37;663.03;—
Enterprise Value/EBIT;9.43;5.78;8.82;10.54;13.98;12.61;13.27;9.60;12.13;41.56;66.22;18.46;—
Enterprise Value/EBITDA;6.87;4.09;6.01;7.19;9.02;8.49;8.98;6.54;8.31;16.91;24.42;9.97;—
