Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.41;1.30;1.63;1.24;1.35;1.78;1.42;1.22;1.99;2.00;2.08;1.58;3.07
Price/Earnings;25.95;30.55;55.09;132.71;43.77;26.96;27.29;201.80;50.63;67.50;69.03;80.77;25.84
Price/Cash Flow;13.19;14.46;27.07;132.13;20.40;13.36;104.56;—;17.47;16.20;8.91;68.27;17.36
Price/Book;1.10;0.90;1.14;0.85;1.07;1.21;0.81;0.84;1.46;1.51;1.48;1.09;4.27
Price/Forward Earnings;14.49;14.84;27.17;103.09;29.94;32.36;38.91;16.81;15.55;17.09;16.21;25.00;—
PEG Ratio;0.70;0.81;1.48;5.64;1.00;1.24;1.69;0.92;0.91;1.01;0.95;1.24;—
Earnings Yield %;3.85;3.27;1.82;0.75;2.28;3.71;3.66;0.50;1.98;1.48;1.45;2.30;—
Enterprise Value (Mil);179.95;146.87;225.48;143.91;200.71;227.82;145.67;216.15;417.45;586.47;621.18;314.78;—
Enterprise Value/EBIT;10.84;12.73;27.23;179.44;23.21;13.42;15.27;76.78;37.12;53.05;57.57;41.10;—
Enterprise Value/EBITDA;6.98;7.63;13.96;18.11;13.83;10.55;9.69;14.33;16.94;19.32;19.85;15.97;—
