Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.02;0.96;1.64;0.87;1.13;0.92;1.75;1.25;1.82;1.58;3.87;1.55;3.07
Price/Earnings;13.44;18.05;19.28;27.35;—;18.86;20.08;17.61;36.57;—;59.43;23.76;25.84
Price/Cash Flow;16.37;8.20;48.20;11.89;12.92;8.36;19.83;12.07;34.21;—;70.54;19.72;17.36
Price/Book;1.94;1.89;3.32;1.40;2.61;2.05;3.79;2.47;3.00;2.74;4.28;2.88;4.27
Price/Forward Earnings;11.61;12.89;13.95;—;—;—;—;—;—;-24.10;—;—;—
PEG Ratio;0.46;0.64;0.70;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.44;5.54;5.19;3.66;-0.35;5.30;4.98;5.68;2.73;-8.45;-6.21;2.18;—
Enterprise Value (Mil);60.78;55.42;101.49;40.14;64.40;46.53;94.07;62.58;84.00;68.53;118.23;72.74;—
Enterprise Value/EBIT;7.77;9.82;12.85;16.03;—;12.35;12.99;8.72;38.10;—;78.19;16.84;—
Enterprise Value/EBITDA;6.49;7.49;10.51;10.00;107.51;9.16;11.10;7.70;26.17;—;17.49;11.82;—
