Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.35;2.75;3.70;3.30;3.25;2.97;4.06;3.34;4.47;6.00;6.86;4.14;3.07
Price/Earnings;18.79;19.98;25.82;22.88;21.52;21.13;30.45;19.57;26.96;31.99;38.66;25.67;25.84
Price/Cash Flow;14.09;14.97;20.08;18.02;19.01;16.15;20.27;17.88;21.45;22.55;24.13;19.54;17.36
Price/Book;3.30;3.60;4.40;3.66;3.81;3.30;4.45;3.41;4.70;4.89;5.09;4.15;4.27
Price/Forward Earnings;15.90;17.79;20.75;20.41;19.65;20.04;25.45;19.08;22.68;27.78;29.50;23.47;—
PEG Ratio;1.16;1.49;2.00;1.76;2.48;2.20;2.19;2.31;2.31;2.81;2.12;2.33;—
Earnings Yield %;5.32;5.00;3.87;4.37;4.65;4.73;3.28;5.11;3.71;3.13;2.59;4.00;—
Enterprise Value (Bil);7.63;10.44;13.95;13.97;14.21;12.96;18.44;16.76;24.72;29.55;32.56;20.48;—
Enterprise Value/EBIT;12.85;14.15;17.82;16.24;15.40;15.72;21.91;16.55;21.57;25.40;29.98;20.19;—
Enterprise Value/EBITDA;11.27;12.38;15.55;14.05;13.30;13.13;17.91;13.84;18.05;20.84;24.30;16.89;—
