Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;8.07;9.22;7.38;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;246.19;132.48;56.20;—;17.36
Price/Book;—;—;—;—;—;—;—;—;2.85;3.24;2.59;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;106.38;80.00;113.64;—;—
PEG Ratio;—;—;—;—;—;—;—;—;7.12;5.35;—;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;-0.31;-0.21;-1.31;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;1.93;2.32;1.89;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;195.04;—;618.09;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;45.93;110.65;1,048.09;—;—
