Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.18;0.16;0.05;0.03;0.01;0.15;0.18;0.10;0.21;0.88;0.73;0.30;1.76
Price/Earnings;—;—;—;—;—;—;2.80;—;3.20;7.19;3.92;10.10;17.62
Price/Cash Flow;—;4.02;—;2.07;1.42;2.09;17.49;—;2.99;14.46;5.33;9.20;9.46
Price/Book;0.54;0.52;0.25;0.16;0.37;0.83;0.54;0.55;3.19;3.83;2.75;2.51;2.05
Price/Forward Earnings;9.10;—;—;—;—;—;—;—;—;—;—;—;—
PEG Ratio;3.64;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;-51.01;—;—;—;—;-52.90;35.71;—;—;—;25.50;-16.46;—
Enterprise Value (Mil);849.39;—;—;—;—;359.37;231.61;—;—;—;241.41;273.25;—
Enterprise Value/EBIT;—;—;—;—;—;—;5.98;—;—;—;6.44;0.49;—
Enterprise Value/EBITDA;—;—;—;—;—;125.92;2.73;—;—;—;5.34;6.81;—
