Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.63;0.97;1.09;1.46;0.53;0.68;0.59;0.49;0.87;0.94;1.14;0.68;3.07
Price/Earnings;25.47;16.04;18.98;21.82;13.26;27.31;20.62;13.50;14.95;13.14;10.37;16.98;25.84
Price/Cash Flow;14.63;8.57;13.23;14.26;7.71;10.60;8.85;7.01;11.31;5.91;7.06;8.44;17.36
Price/Book;3.43;2.03;2.42;3.28;1.35;1.88;1.61;1.33;2.09;1.88;2.24;1.66;4.27
Price/Forward Earnings;20.70;11.22;17.06;23.58;15.58;17.33;—;10.47;13.23;11.86;14.64;17.28;—
PEG Ratio;0.97;0.70;1.14;1.77;—;—;—;0.70;—;—;—;—;—
Earnings Yield %;3.93;6.23;5.27;4.58;7.54;3.66;4.85;7.41;6.69;7.61;9.64;6.49;—
Enterprise Value (Bil);0.73;0.51;0.70;1.02;0.35;0.51;0.45;0.36;1.06;0.95;1.21;0.63;—
Enterprise Value/EBIT;13.74;8.00;10.21;12.69;6.30;15.20;11.37;5.99;14.20;10.31;7.59;10.61;—
Enterprise Value/EBITDA;10.09;5.96;7.42;9.36;4.06;8.20;6.76;4.08;10.65;8.14;6.60;7.09;—
