Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;11.17;7.77;16.65;14.38;7.14;8.29;7.36;4.87;4.35;8.44;8.12;6.87;3.07
Price/Earnings;112.40;154.17;—;—;—;—;—;—;—;—;453.96;—;25.84
Price/Cash Flow;39.81;28.10;129.35;80.51;79.89;—;34.81;33.13;—;36.50;76.56;250.27;17.36
Price/Book;6.47;3.35;5.78;7.38;1.74;2.57;2.88;1.93;2.77;7.60;5.31;3.53;4.27
Price/Forward Earnings;78.13;45.25;185.19;104.17;-833.33;86.96;50.00;46.95;-43.48;-1,000.00;123.46;101.21;—
PEG Ratio;1.66;0.79;6.21;1.38;—;—;—;9.38;—;—;—;—;—
Earnings Yield %;0.89;0.65;-0.51;-0.70;-3.20;-3.40;-0.52;-1.69;-3.26;-1.06;0.22;-2.03;—
Enterprise Value (Bil);0.54;0.75;2.86;3.95;4.04;6.39;7.42;5.50;9.72;30.16;26.90;11.67;—
Enterprise Value/EBIT;—;128.69;—;—;—;—;—;—;—;—;128.61;-142.59;—
Enterprise Value/EBITDA;83.75;40.17;3,965.78;253.79;—;—;81.24;—;—;—;78.13;265.88;—
