Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;8.04;5.18;6.30;3.23;0.34;0.98;1.54;2.47;1.97;1.23;1.91;1.65;3.07
Price/Earnings;26.32;9.41;11.94;7.06;—;—;8.72;7.12;3.40;—;2.35;6.37;25.84
Price/Cash Flow;9.54;7.24;8.11;4.75;0.72;3.17;4.70;5.52;2.17;1.77;3.09;3.27;17.36
Price/Book;4.03;3.20;3.47;1.82;1.50;2.59;0.76;0.85;0.39;0.46;0.67;0.99;4.27
Price/Forward Earnings;13.97;10.12;10.93;8.14;2.21;4.83;7.39;7.38;—;4.95;—;5.89;—
PEG Ratio;2.79;10.12;10.92;8.14;—;—;—;—;—;—;—;—;—
Earnings Yield %;3.80;10.63;8.38;14.16;-342.52;-52.14;11.46;14.04;29.44;-144.87;-49.56;-29.62;—
Enterprise Value (Bil);3.54;2.80;3.24;2.15;1.52;1.50;1.13;1.20;0.68;0.54;0.61;1.00;—
Enterprise Value/EBIT;14.28;10.48;13.31;9.58;—;—;7.60;6.15;3.73;—;445.84;5.40;—
Enterprise Value/EBITDA;11.41;8.60;10.46;7.45;—;—;6.08;5.25;3.39;—;38.52;0.79;—
