Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.11;0.26;0.44;0.31;0.29;0.56;0.43;0.38;0.52;0.73;0.99;0.52;2.06
Price/Earnings;—;229.70;—;—;—;52.45;51.87;20.26;25.44;13.69;16.04;31.25;31.62
Price/Cash Flow;6.84;14.31;24.26;6.82;12.47;15.55;18.64;21.26;11.49;7.06;8.58;20.44;17.41
Price/Book;0.51;0.50;0.86;0.81;0.71;1.35;1.00;0.88;1.23;1.54;2.02;1.17;2.50
Price/Forward Earnings;12.94;8.61;12.67;5.46;—;10.49;11.98;10.91;13.57;10.65;11.00;13.70;—
PEG Ratio;1.29;0.86;1.27;0.55;—;—;—;—;—;—;—;—;—
Earnings Yield %;-9.93;0.44;-0.27;-53.26;—;1.91;1.93;4.94;3.93;7.30;6.23;4.26;—
Enterprise Value (Mil);141.47;112.71;194.11;124.39;—;195.21;142.95;129.34;218.26;273.22;351.32;184.27;—
Enterprise Value/EBIT;—;39.44;96.62;—;—;26.74;22.61;10.80;13.68;9.92;11.34;15.44;—
Enterprise Value/EBITDA;8.58;8.36;18.08;24.09;—;15.42;10.80;7.45;8.58;6.45;7.62;10.13;—
