Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.27;0.12;0.24;0.28;0.37;0.45;0.49;0.24;0.27;0.33;0.38;0.36;1.50
Price/Earnings;12.88;11.39;17.58;10.36;11.82;14.17;14.48;7.33;10.39;17.63;21.62;12.51;24.83
Price/Cash Flow;2,742.98;11.41;19.02;14.74;13.09;40.67;78.98;12.98;7.01;3.87;6.45;24.42;11.13
Price/Book;1.22;0.85;1.74;1.87;2.22;2.55;2.72;1.33;1.43;1.44;1.47;1.90;1.87
Price/Forward Earnings;8.20;6.93;13.02;—;—;—;—;—;—;—;—;—;—
PEG Ratio;4.10;0.34;0.65;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.76;8.78;5.69;9.65;8.46;7.06;6.90;13.65;9.62;5.67;4.62;8.75;—
Enterprise Value (Bil);0.22;0.18;0.38;0.46;0.62;0.83;1.06;0.61;0.71;0.62;0.71;0.76;—
Enterprise Value/EBIT;5.35;5.17;9.40;6.70;7.65;9.27;9.90;5.28;6.11;7.21;9.37;7.47;—
Enterprise Value/EBITDA;4.45;4.30;7.78;6.05;7.00;8.34;8.74;4.71;5.20;5.57;6.65;6.48;—
