Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.78;0.76;0.94;0.66;0.16;0.15;0.28;0.72;3.18;6.87;6.94;1.93;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;16.16;12.84;30.08;—;5.34;6.14;—;—;—;—;—;5.15;17.36
Price/Book;0.57;0.65;0.86;0.92;—;—;—;4.10;7.56;148.07;13.55;24.58;4.27
Price/Forward Earnings;28.01;-34.72;-26.81;-70.42;—;—;—;-4.87;-19.72;-40.32;—;—;—
PEG Ratio;0.42;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;-5.81;-10.30;-14.43;-53.19;-576.47;-108.10;-80.08;-36.24;-15.08;-7.58;-7.37;-72.14;—
Enterprise Value (Bil);0.16;0.18;0.23;0.20;0.10;0.04;0.07;0.10;0.43;1.25;1.34;0.33;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-12.59;5.32;—
Enterprise Value/EBITDA;14.84;13.48;67.43;—;—;—;—;183.96;—;—;-38.31;-16.93;—
