Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;10.87;14.32;17.26;17.10;16.38;9.02;7.90;6.75;5.65;6.04;7.23;7.48;3.07
Price/Earnings;—;25.34;38.50;138.60;107.29;53.59;34.09;23.88;20.09;17.71;16.59;31.26;25.84
Price/Cash Flow;—;—;82.36;54.69;50.38;31.00;38.99;21.14;18.17;25.69;25.69;25.63;17.36
Price/Book;12.01;13.36;16.23;16.47;17.23;8.66;6.69;5.17;3.94;5.10;5.19;6.27;4.27
Price/Forward Earnings;-25.64;33.11;32.05;35.46;35.71;24.69;22.17;16.10;14.79;12.11;12.44;19.89;—
PEG Ratio;—;—;1.52;1.81;1.58;1.49;1.15;1.27;1.50;0.93;1.17;1.66;—
Earnings Yield %;-3.66;3.95;2.60;0.72;0.93;1.87;2.93;4.19;4.98;5.65;6.03;3.96;—
Enterprise Value (Bil);5.05;16.79;27.47;41.55;56.31;37.69;39.72;39.23;39.24;51.34;61.38;43.69;—
Enterprise Value/EBIT;—;36.53;39.47;52.24;46.19;31.24;21.05;15.95;17.47;14.57;13.76;20.65;—
Enterprise Value/EBITDA;—;33.81;37.34;49.16;43.82;28.87;19.59;15.09;16.05;13.68;13.04;19.24;—
