Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;728.48;144.26;102.41;0.84;0.45;0.19;0.22;0.21;0.33;0.39;1.14;0.29;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;49.78;53.31;—;25.84
Price/Cash Flow;—;—;—;—;35.33;—;—;9.90;16.53;18.79;17.41;16.92;17.36
Price/Book;103.78;—;3.55;2.10;1.08;0.54;0.55;0.35;0.55;0.64;1.86;0.56;4.27
Price/Forward Earnings;—;—;—;-144.93;-23.09;-22.27;—;24.75;27.25;27.17;72.99;81.29;—
PEG Ratio;—;—;—;—;—;—;—;1.65;1.82;1.81;4.86;—;—
Earnings Yield %;-5.13;-25.52;-35.71;-6.94;-8.66;-27.76;-16.09;-19.85;0.00;2.01;1.88;-12.37;—
Enterprise Value (Mil);15.25;168.69;216.75;159.27;75.42;38.77;40.76;24.73;37.59;40.91;134.58;39.22;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;61.23;29.32;33.98;-12.72;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;18.37;15.66;25.08;-2.32;—
