Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.26;1.51;1.44;1.20;1.62;1.64;1.69;1.67;1.79;2.73;2.90;1.89;2.06
Price/Earnings;11.50;47.78;53.10;—;122.81;14.70;17.31;21.27;34.29;112.56;39.07;36.62;31.62
Price/Cash Flow;6.90;5.76;7.79;26.02;18.42;11.97;15.43;12.19;15.95;25.56;26.23;15.96;17.41
Price/Book;0.73;1.32;1.49;1.68;2.84;3.03;3.48;2.95;3.14;5.57;5.48;3.54;2.50
Price/Forward Earnings;9.18;12.92;22.47;18.05;—;19.49;21.74;18.98;22.78;36.50;38.31;23.65;—
PEG Ratio;—;0.92;1.61;1.29;—;—;—;—;—;—;—;—;—
Earnings Yield %;8.70;2.09;1.88;-0.58;—;6.80;5.78;4.70;2.92;0.89;2.56;4.18;—
Enterprise Value (Bil);0.86;1.68;1.76;0.84;—;1.63;1.74;1.68;1.95;3.03;3.11;1.97;—
Enterprise Value/EBIT;7.14;40.93;42.51;47.68;—;13.62;12.88;20.40;25.10;46.24;30.71;22.89;—
Enterprise Value/EBITDA;3.67;19.96;21.10;14.16;—;9.77;9.61;13.30;15.16;23.40;19.26;13.92;—
