Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.97;1.78;2.23;2.92;3.33;3.23;2.49;3.05;3.46;3.03;3.49;2.96;3.07
Price/Earnings;22.97;18.83;22.27;27.60;29.00;26.95;20.49;21.68;25.23;20.23;21.86;22.17;25.84
Price/Cash Flow;11.83;8.81;15.50;17.66;20.42;19.67;16.65;17.33;18.42;13.29;13.05;16.55;17.36
Price/Book;3.59;4.79;6.70;9.90;12.37;13.60;33.02;54.61;199.38;45.39;263.64;80.67;4.27
Price/Forward Earnings;18.25;16.47;18.73;23.31;24.51;22.62;18.25;19.49;21.98;19.69;24.39;20.59;—
PEG Ratio;1.06;1.01;1.12;1.45;1.49;1.46;1.31;1.15;1.42;1.21;1.66;1.37;—
Earnings Yield %;4.35;5.31;4.49;3.62;3.45;3.71;4.88;4.61;3.96;4.94;4.57;4.58;—
Enterprise Value (Bil);10.78;10.95;14.67;20.67;25.89;27.63;23.32;30.35;38.75;37.14;46.20;31.26;—
Enterprise Value/EBIT;13.25;11.15;13.64;16.83;17.76;16.62;13.44;16.91;20.29;15.91;17.10;16.40;—
Enterprise Value/EBITDA;11.03;9.45;11.68;14.57;15.53;14.73;11.86;14.81;17.81;14.09;15.29;14.44;—
