Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.54;1.97;2.36;3.15;3.48;3.81;4.81;5.76;6.79;6.16;5.94;5.23;3.01
Price/Earnings;14.98;17.01;18.30;24.78;25.58;27.95;31.64;39.44;39.38;35.50;32.26;33.47;25.53
Price/Cash Flow;8.28;9.04;11.48;8.71;12.34;19.36;15.26;18.66;28.42;24.42;22.48;20.36;17.03
Price/Book;1.62;1.17;2.28;2.83;3.26;3.39;4.04;4.45;5.36;4.63;4.53;3.93;4.19
Price/Forward Earnings;15.55;14.88;15.72;22.68;—;—;32.15;34.72;40.82;33.44;32.36;32.42;—
PEG Ratio;2.83;3.72;7.87;22.69;—;—;—;—;—;—;—;—;—
Earnings Yield %;6.68;5.88;5.46;4.04;3.91;3.58;3.16;2.54;2.54;2.82;3.10;3.07;—
Enterprise Value (Bil);0.99;1.24;1.42;1.70;1.84;2.06;2.48;2.85;3.67;3.47;3.52;2.81;—
Enterprise Value/EBIT;10.16;10.95;11.86;14.56;14.99;17.71;19.09;27.17;28.13;26.38;24.32;22.86;—
Enterprise Value/EBITDA;7.15;7.91;8.86;10.63;11.20;13.21;14.65;19.69;21.86;20.66;19.26;17.37;—
