Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;1.06;1.85;1.85;1.79;2.11;3.16;2.62;2.03;3.01
Price/Earnings;—;—;—;—;30.94;23.71;37.80;45.59;—;86.51;52.36;105.09;25.53
Price/Cash Flow;—;—;—;—;3.02;3.42;3.77;3.50;4.55;6.71;6.08;4.19;17.03
Price/Book;—;—;—;—;1.50;1.57;1.88;1.72;2.27;3.42;2.97;2.11;4.19
Price/Forward Earnings;—;—;—;—;15.06;14.31;19.69;17.06;21.01;35.84;29.76;21.07;—
PEG Ratio;—;—;—;—;—;0.25;0.79;0.68;2.10;3.59;2.97;1.54;—
Earnings Yield %;—;—;—;—;3.23;4.22;2.65;2.19;-3.62;1.16;1.91;1.30;—
Enterprise Value (Bil);—;—;—;—;6.98;8.28;9.13;8.86;10.02;12.77;13.37;9.79;—
Enterprise Value/EBIT;—;—;—;—;26.54;21.11;37.87;22.73;29.91;32.41;49.15;30.07;—
Enterprise Value/EBITDA;—;—;—;—;14.33;11.35;14.53;11.15;12.86;14.30;16.11;12.94;—
