Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.99;0.69;0.98;0.71;0.44;0.36;0.42;0.68;0.73;0.66;1.13;0.53;3.01
Price/Earnings;—;22.91;38.88;41.89;28.76;1,580.00;37.27;42.64;50.81;—;43.21;179.13;25.53
Price/Cash Flow;31.40;39.43;44.40;—;16.68;9.83;13.10;23.02;32.29;11.06;123.96;20.04;17.03
Price/Book;20.23;8.45;5.75;4.08;2.42;2.25;2.85;3.21;3.58;2.53;3.73;2.64;4.19
Price/Forward Earnings;19.08;15.11;28.82;29.94;19.72;—;33.11;—;—;—;36.10;26.41;—
PEG Ratio;1.03;0.76;1.44;1.50;—;—;—;—;—;—;—;—;—
Earnings Yield %;-3.96;4.36;2.57;2.39;3.48;0.06;2.68;2.35;1.97;-4.01;-7.64;0.68;—
Enterprise Value (Bil);0.42;0.46;0.82;0.72;0.73;0.72;0.90;1.19;1.56;1.28;1.57;1.05;—
Enterprise Value/EBIT;16.57;15.87;24.05;22.72;19.52;18.12;18.61;25.69;31.22;—;33.39;22.33;—
Enterprise Value/EBITDA;15.65;13.96;20.01;17.90;14.60;12.46;13.18;17.49;20.79;—;55.33;17.09;—
