Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.55;1.26;1.53;1.33;0.70;0.51;0.26;0.13;0.19;0.22;0.37;0.27;3.07
Price/Earnings;15.58;12.85;16.80;15.90;9.44;8.76;6.36;4.49;—;—;43.47;8.19;25.84
Price/Cash Flow;12.96;10.24;14.55;10.75;8.04;4.91;3.95;1.37;4.18;4.54;5.79;4.56;17.36
Price/Book;3.58;3.18;4.25;4.81;3.07;2.34;1.14;0.54;1.15;1.27;2.96;1.35;4.27
Price/Forward Earnings;13.04;10.86;15.36;14.99;9.23;8.67;7.16;6.20;8.48;31.15;22.27;10.52;—
PEG Ratio;0.84;0.88;1.15;1.64;1.10;1.51;—;—;—;0.91;—;1.30;—
Earnings Yield %;6.42;7.78;5.95;6.29;10.59;11.42;15.73;22.26;-33.29;-8.78;2.30;-6.37;—
Enterprise Value (Bil);12.46;11.86;16.26;14.35;8.70;7.13;4.17;1.97;4.97;4.17;5.20;4.48;—
Enterprise Value/EBIT;8.42;7.45;9.72;9.13;5.77;5.92;4.88;3.26;—;—;40.35;5.48;—
Enterprise Value/EBITDA;7.51;6.65;8.64;7.96;4.95;4.75;3.60;2.12;—;34.97;11.45;4.44;—
