Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.95;3.66;5.42;5.74;9.65;6.25;7.75;5.33;2.58;5.12;4.86;5.73;3.07
Price/Earnings;30.03;10.96;19.67;16.84;365.37;45.68;24.61;17.61;18.60;24.04;19.53;30.96;25.84
Price/Cash Flow;50.11;15.51;17.18;18.74;38.14;17.83;17.74;14.00;6.92;16.91;11.46;15.86;17.36
Price/Book;6.61;3.42;4.54;4.00;8.01;5.58;7.09;4.21;2.29;3.95;3.61;4.98;4.27
Price/Forward Earnings;19.65;13.64;15.95;16.84;—;11.29;23.58;14.14;30.40;—;38.31;20.84;—
PEG Ratio;1.09;0.68;0.80;0.84;—;0.75;1.57;0.94;2.02;—;2.56;1.39;—
Earnings Yield %;3.33;9.13;5.08;5.94;0.27;2.19;4.06;5.68;5.38;4.16;5.12;4.75;—
Enterprise Value (Bil);0.35;0.35;0.61;0.74;1.73;2.02;3.24;2.73;1.35;3.26;3.14;2.69;—
Enterprise Value/EBIT;27.82;14.49;19.03;21.54;44.62;48.09;21.02;14.30;11.74;18.98;14.41;22.27;—
Enterprise Value/EBITDA;25.97;13.57;17.73;19.33;37.96;34.55;18.46;12.81;9.42;16.46;12.89;18.41;—
