Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.29;0.36;0.31;0.27;0.31;0.09;0.15;0.05;0.08;0.10;0.25;0.11;3.07
Price/Earnings;30.55;8.68;31.35;—;—;—;—;—;20.28;—;17.11;56.97;25.84
Price/Cash Flow;16.86;4.45;8.44;—;3.14;4.98;30.49;—;1.11;2.37;17.11;12.75;17.36
Price/Book;1.89;1.96;1.50;1.65;1.98;1.04;2.93;3.33;4.51;—;23.49;5.81;4.27
Price/Forward Earnings;9.12;8.41;12.45;26.46;7.81;-3.17;—;—;—;—;—;—;—
PEG Ratio;0.14;0.36;0.54;1.15;0.78;—;—;—;—;—;—;—;—
Earnings Yield %;3.27;11.52;3.19;-5.04;-7.13;-119.00;-16.23;-50.68;4.93;-42.17;-49.50;-39.19;—
Enterprise Value (Bil);1.94;2.98;2.53;3.23;3.23;2.29;2.56;1.71;1.66;1.52;1.84;2.00;—
Enterprise Value/EBIT;29.82;10.19;15.50;76.06;—;—;32.64;21.35;11.15;64.02;67.18;-131.89;—
Enterprise Value/EBITDA;14.92;7.76;9.07;18.67;22.54;—;10.11;8.35;6.37;11.67;21.12;28.03;—
