Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;0.05;0.05;0.17;0.15;—;3.01
Price/Earnings;—;—;—;—;—;—;—;—;42.00;16.01;19.54;—;25.53
Price/Cash Flow;—;—;—;—;—;—;—;7.94;5.23;1.88;4.17;—;17.03
Price/Book;—;—;—;1.23;1.28;3.19;2.23;0.66;0.65;1.84;1.25;1.60;4.19
Price/Forward Earnings;—;—;—;—;—;20.16;13.42;6.29;3.74;14.35;17.36;13.08;—
PEG Ratio;—;—;—;—;—;1.01;0.84;0.39;0.31;1.19;1.45;0.91;—
Earnings Yield %;—;—;—;—;-2.03;-4.04;—;-23.10;2.38;6.24;5.12;-2.51;—
Enterprise Value (Mil);—;—;—;56.67;58.55;165.45;144.70;66.68;71.44;122.48;112.62;107.03;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;54.70;7.16;6.04;8.26;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;9.30;4.56;4.54;5.69;—;—
