Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.83;1.36;1.12;0.85;0.72;1.15;1.07;0.87;1.42;1.32;1.67;1.15;3.01
Price/Earnings;30.28;22.92;26.56;—;35.00;—;774.29;21.09;53.59;35.56;35.86;90.31;25.53
Price/Cash Flow;15.33;9.17;9.59;8.78;5.98;12.03;10.28;8.95;11.72;9.54;10.34;10.47;17.03
Price/Book;4.03;2.32;2.46;2.14;2.14;2.90;2.71;2.30;3.87;3.19;3.77;3.00;4.19
Price/Forward Earnings;25.51;20.58;22.12;27.78;25.38;71.43;52.63;34.01;41.32;36.50;39.53;58.68;—
PEG Ratio;1.38;3.34;1.53;1.95;1.50;—;0.30;—;—;—;—;11.59;—
Earnings Yield %;3.30;4.36;3.77;-1.00;2.86;-0.81;0.13;4.74;1.87;2.81;2.79;1.82;—
Enterprise Value (Bil);3.67;4.49;4.78;3.97;3.61;4.57;4.35;4.13;6.18;5.34;6.22;4.89;—
Enterprise Value/EBIT;17.60;25.52;23.88;33.72;16.42;51.80;28.76;25.05;28.85;21.92;23.89;29.65;—
Enterprise Value/EBITDA;11.45;13.30;10.82;10.16;7.29;12.25;9.90;9.03;11.99;9.84;11.29;10.44;—
