Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.59;0.53;0.52;0.38;0.55;0.49;0.45;0.38;0.46;0.45;0.60;0.46;1.50
Price/Earnings;7.11;—;—;40.97;13.76;14.69;40.11;9.90;21.27;33.05;29.30;25.10;24.83
Price/Cash Flow;3.02;4.49;3.39;2.48;6.50;5.47;2.98;2.08;2.65;2.63;3.34;3.29;11.13
Price/Book;0.65;0.93;0.95;0.70;0.98;0.95;0.99;0.85;1.18;1.31;1.60;1.06;1.87
Price/Forward Earnings;7.25;20.20;-3.60;13.83;14.56;11.20;—;—;—;—;—;—;—
PEG Ratio;2.42;4.22;—;2.89;—;—;—;—;—;—;—;—;—
Earnings Yield %;14.07;-34.91;-34.49;2.44;7.27;6.81;2.49;10.10;4.70;3.03;3.41;5.30;—
Enterprise Value (Mil);222.13;480.31;464.44;397.77;491.03;530.09;609.39;558.14;706.85;75.71;859.49;519.92;—
Enterprise Value/EBIT;4.96;11.48;12.29;10.18;10.07;6.03;7.11;9.17;12.84;2.23;21.03;8.40;—
Enterprise Value/EBITDA;2.82;1.98;1.88;5.58;5.87;4.23;4.46;5.13;6.01;0.69;7.28;4.41;—
