Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.28;0.84;1.34;1.40;1.21;1.91;2.45;1.59;1.97;2.04;2.26;1.86;3.01
Price/Earnings;—;—;42.59;30.12;45.26;34.13;36.85;13.79;29.95;27.51;29.60;28.32;25.53
Price/Cash Flow;9.45;20.33;13.75;11.25;15.99;14.99;125.92;10.92;20.59;13.99;10.92;25.36;17.03
Price/Book;1.00;3.70;4.54;4.70;3.78;5.16;4.07;2.55;3.21;3.06;3.37;3.51;4.19
Price/Forward Earnings;31.06;24.33;27.40;21.65;17.51;22.17;23.64;14.45;18.59;22.52;21.55;19.72;—
PEG Ratio;3.10;2.44;2.74;2.16;1.40;1.77;1.89;1.16;1.55;2.25;1.79;1.59;—
Earnings Yield %;-10.25;-0.36;2.35;3.32;2.21;2.93;2.71;7.25;3.34;3.63;3.38;4.11;—
Enterprise Value (Bil);1.00;1.43;1.97;2.03;1.76;2.45;2.11;1.54;2.16;2.23;2.50;2.05;—
Enterprise Value/EBIT;142.72;24.73;20.88;16.70;23.00;20.55;21.27;12.93;20.72;18.63;20.08;18.56;—
Enterprise Value/EBITDA;11.28;12.11;12.82;11.39;13.08;14.25;14.94;9.46;13.74;12.55;13.63;12.93;—
