Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;13.77;8.23;7.25;8.23;8.63;5.90;5.65;4.12;5.81;6.36;3.07
Price/Earnings;—;—;125.82;44.71;69.50;59.38;51.33;39.53;45.03;932.00;989.00;104.96;25.84
Price/Cash Flow;—;—;52.17;—;24.45;26.56;26.54;20.74;14.34;13.59;17.77;20.06;17.36
Price/Book;—;—;—;10.85;9.36;5.31;5.35;3.59;3.42;2.49;3.29;3.97;4.27
Price/Forward Earnings;—;—;—;—;—;—;89.29;59.17;63.29;38.76;54.95;65.13;—
PEG Ratio;—;—;—;—;—;—;7.88;6.86;7.43;6.34;—;—;—
Earnings Yield %;—;—;0.79;2.24;1.44;1.68;1.95;2.53;2.22;0.11;-1.16;1.79;—
Enterprise Value (Bil);—;—;4.73;6.25;6.43;7.07;7.33;5.61;5.60;4.31;5.09;5.94;—
Enterprise Value/EBIT;—;—;54.22;17.64;44.20;41.81;37.45;29.46;31.19;48.42;100.32;39.72;—
Enterprise Value/EBITDA;—;—;33.03;12.94;20.06;21.44;20.62;15.89;15.49;15.44;21.21;17.74;—
