Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.64;0.45;0.23;0.35;0.42;0.30;0.07;0.06;0.04;0.03;0.09;0.11;3.01
Price/Earnings;11.11;—;—;—;8.12;515.00;—;—;—;—;0.06;237.73;25.53
Price/Cash Flow;7.09;12.41;—;—;9.59;5.77;1.49;1.67;1.10;1.38;0.87;3.12;17.03
Price/Book;0.88;1.33;0.93;1.07;0.99;0.70;0.52;0.79;1.72;2.65;4.87;4.07;4.19
Price/Forward Earnings;12.41;25.71;-2.50;-3.47;-33.11;—;-29.41;—;—;-1.60;—;—;—
PEG Ratio;0.83;1.71;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;9.00;-34.90;-99.55;-1.32;12.31;0.19;-126.81;-207.48;-152.43;-169.68;-41.08;-132.92;—
Enterprise Value (Mil);225.64;251.15;238.42;319.31;327.17;265.47;173.27;155.12;180.19;155.15;179.35;195.08;—
Enterprise Value/EBIT;4.13;—;—;16.58;6.28;17.91;—;—;—;—;18.68;11.16;—
Enterprise Value/EBITDA;2.78;16.52;—;7.41;4.54;6.91;—;—;—;12.92;29.46;1.20;—
