Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.48;0.46;0.62;0.64;0.81;0.93;0.87;0.86;0.82;0.67;1.09;0.80;3.01
Price/Earnings;15.69;11.82;33.34;23.80;74.15;29.68;83.56;118.41;78.47;—;50.10;53.07;25.53
Price/Cash Flow;3.74;3.39;7.69;7.21;—;9.62;14.83;9.33;14.97;108.70;136.95;30.64;17.03
Price/Book;1.18;1.08;1.22;1.26;1.06;1.28;1.07;1.10;1.06;0.72;1.10;1.03;4.19
Price/Forward Earnings;12.50;7.23;16.81;16.56;25.51;31.06;29.24;—;—;—;—;22.71;—
PEG Ratio;0.83;0.48;1.12;1.10;—;—;—;—;—;—;—;—;—
Earnings Yield %;6.37;8.46;3.00;4.20;1.35;3.37;1.20;0.84;1.27;-7.08;-2.44;0.46;—
Enterprise Value (Bil);1.03;0.90;0.96;1.25;0.98;1.20;1.02;1.07;1.15;0.79;1.23;1.01;—
Enterprise Value/EBIT;7.72;6.72;15.34;18.14;26.73;13.15;19.38;383.52;36.46;—;25.93;233.23;—
Enterprise Value/EBITDA;5.28;4.39;7.51;9.96;12.22;9.34;10.99;19.31;12.24;—;56.73;14.36;—
