Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;2.21;1.10;2.21;3.30;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;43.87;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;19.44;36.67;—;17.36
Price/Book;—;—;—;—;—;—;—;4.42;2.76;7.42;9.99;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;-80.65;-29.76;—;112.36;—;—
PEG Ratio;—;—;—;—;—;—;—;—;—;—;3.22;—;—
Earnings Yield %;—;—;—;—;—;—;—;-13.26;-1.37;-0.23;2.28;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;0.27;0.21;0.59;1.14;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;44.64;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;117.29;34.61;—;—
