Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.44;0.50;0.85;0.65;0.46;0.42;0.54;0.41;0.28;0.30;0.43;0.40;3.07
Price/Earnings;17.78;18.99;32.53;29.34;—;34.82;14.88;20.52;—;6.04;26.13;18.83;25.84
Price/Cash Flow;6.89;6.13;10.04;7.15;4.81;3.88;6.41;3.61;4.18;2.41;3.65;4.27;17.36
Price/Book;1.64;3.96;4.87;2.61;3.65;7.05;4.40;2.83;5.55;11.22;16.66;6.25;4.27
Price/Forward Earnings;6.85;6.75;10.72;9.45;7.35;6.96;—;5.75;4.91;7.28;9.85;7.01;—
PEG Ratio;1.37;1.23;1.31;1.67;7.21;0.99;—;1.11;2.14;1.41;—;1.10;—
Earnings Yield %;5.62;5.27;3.07;3.41;-2.24;2.87;6.72;4.87;-29.67;16.55;3.83;-1.43;—
Enterprise Value (Bil);7.01;6.83;9.34;7.67;8.39;8.12;8.90;7.88;7.47;6.64;7.21;7.90;—
Enterprise Value/EBIT;11.69;11.86;16.41;15.68;28.84;16.38;14.03;15.07;—;9.33;15.33;80.50;—
Enterprise Value/EBITDA;6.83;6.91;9.67;8.46;12.66;8.28;8.00;7.71;22.18;5.56;7.77;9.74;—
