Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.42;0.40;0.56;0.62;0.92;0.79;0.77;0.81;1.06;0.81;0.82;0.83;1.50
Price/Earnings;18.00;19.26;23.94;36.83;25.52;52.53;17.02;14.52;31.28;40.76;100.47;30.41;24.83
Price/Cash Flow;6.13;3.50;5.80;8.24;7.88;7.79;7.36;7.15;6.07;4.28;4.01;6.43;11.13
Price/Book;0.60;0.63;1.00;1.28;1.41;1.17;1.14;1.03;1.40;1.27;1.00;1.13;1.87
Price/Forward Earnings;—;11.83;12.24;17.99;16.92;21.55;24.33;20.04;22.27;21.88;35.46;25.31;—
PEG Ratio;—;0.60;0.62;0.90;—;—;—;—;—;—;—;—;—
Earnings Yield %;5.56;5.19;4.18;2.72;3.92;1.90;5.88;6.89;3.20;2.45;1.00;4.23;—
Enterprise Value (Bil);0.97;1.01;1.50;3.88;4.19;4.54;4.70;5.03;9.50;10.02;9.72;6.51;—
Enterprise Value/EBIT;13.52;12.56;16.43;31.79;16.92;24.15;21.61;17.65;36.23;45.31;38.10;27.57;—
Enterprise Value/EBITDA;8.96;7.85;10.16;19.53;11.45;12.77;12.58;11.04;16.05;13.41;11.97;12.73;—
